Feature,RandomForest_Importance,XGBoost_Importance
is_weekend,0.017845376449967153,0.17953779
ewm_7,0.12110383183232655,0.17596672
rolling_mean_3,0.09810169737131468,0.12127838
rolling_mean_7,0.0953189658882473,0.0589942
lag_1,0.07909046871742612,0.056025088
day_of_week,0.03141878593724488,0.040019974
rolling_mean_14,0.06994876351587188,0.03158528
day_of_year,0.028260923988692503,0.026368333
lag_14,0.03633363096695289,0.025506912
week_of_year,0.018538209509862784,0.025410922
lag_7,0.04412101282157093,0.023935264
lag_21,0.036233779834672734,0.022538738
rolling_std_14,0.02211130304335027,0.019988762
rolling_mean_30,0.05091855437198759,0.01976357
rolling_std_30,0.028341373632551854,0.01953946
ewm_30,0.05096407070573069,0.018574545
month,0.008749902624455148,0.015321464
lag_2,0.03845839530572093,0.015009112
rolling_std_3,0.021355768561216716,0.01437778
lag_3,0.03255339254341317,0.014156387
rolling_std_7,0.019617278278695742,0.013723022
year,0.004575259426171087,0.012946298
day,0.015206847397098659,0.012798588
lag_30,0.01842051793728239,0.012671955
quarter,0.0032358965134014657,0.0124997245
season,0.00917599282477395,0.011461755
