year,month,monthly_total_kwh,monthly_avg_kwh,hours_count,yr_mo
2006,12,635.4932666666666,1.858167446393762,342,2006-12
2007,1,1104.380966666667,1.5338624537037042,720,2007-01
2007,2,941.4814333333335,1.4010140376984128,672,2007-02
2007,3,981.0365333333339,1.3185974910394271,744,2007-03
2007,4,585.9787999999999,0.8905452887537992,658,2007-04
2007,5,733.4811999999996,0.9858618279569887,744,2007-05
2007,6,593.8407333333337,0.8259259156235517,719,2007-06
2007,7,494.93823333333313,0.6670326594788856,742,2007-07
2007,8,568.2743333333333,0.76380958781362,744,2007-08
2007,9,697.8767666666666,0.969273287037037,720,2007-09
2007,10,821.2728333333333,1.103861335125448,744,2007-10
2007,11,931.9774,1.2944130555555555,720,2007-11
2007,12,1208.452766666666,1.626450560789591,743,2007-12
2008,1,1040.1607333333332,1.444667685185185,720,2008-01
2008,2,822.184533333333,1.181299616858237,696,2008-02
2008,3,926.5099000000006,1.245309005376345,744,2008-03
2008,4,803.4998666666665,1.115972037037037,720,2008-04
2008,5,762.031,1.0242352150537635,744,2008-05
2008,6,715.7328666666662,0.9940734259259252,720,2008-06
2008,7,591.2903000000001,0.7947450268817206,744,2008-07
2008,8,205.69799999999995,0.27647580645161285,744,2008-08
2008,9,711.1298666666662,0.9876803703703697,720,2008-09
2008,10,844.0341666666661,1.1359813817855533,743,2008-10
2008,11,998.4793333333326,1.3867768518518508,720,2008-11
2008,12,946.5871333333344,1.2757238993710704,742,2008-12
2009,1,1025.7219333333326,1.4246137962962953,720,2009-01
2009,2,836.6544000000008,1.2468769001490325,671,2009-02
2009,3,912.6497666666671,1.2266797939068106,744,2009-03
2009,4,821.2587333333328,1.140637129629629,720,2009-04
2009,5,753.4971666666668,1.0127650089605735,744,2009-05
2009,6,558.2906000000004,0.8395347368421059,665,2009-06
2009,7,459.8407333333337,0.6180655017921152,744,2009-07
2009,8,484.3215333333332,0.6643642432556011,729,2009-08
2009,9,710.476066666667,0.9867723148148152,720,2009-09
2009,10,851.478666666668,1.1444605734767044,744,2009-10
2009,11,917.7940333333322,1.2747139351851837,720,2009-11
2009,12,1013.3929333333331,1.3639205024674739,743,2009-12
2010,1,969.2567666666656,1.450983183632733,668,2010-01
2010,2,924.5284333333332,1.3757863591269839,672,2010-02
2010,3,802.2497000000008,1.1299291549295785,710,2010-03
2010,4,739.6354,1.027271388888889,720,2010-04
2010,5,814.8733333333338,1.095259856630825,744,2010-05
2010,6,698.0904000000002,0.9695700000000003,720,2010-06
2010,7,536.4625333333335,0.7210517921146955,744,2010-07
2010,8,368.35996666666676,0.5903204594017095,624,2010-08
2010,9,605.1570666666668,0.9560143233280676,633,2010-09
2010,10,865.5492333333333,1.1633726254480286,744,2010-10
2010,11,742.0960333333336,1.1969290860215058,620,2010-11
